Age	MementoQty
2227	26
6	2
86	9
2791	16
2791	16
1101	10
7	5
31	13
2791	16
7	4
2227	26
805	3
2791	16
6	1
8	1
2791	25
2791	16
2791	16
6	2
2791	32
2791	20
1186	2
557	5
2791	16
4729	6
71	2
12	9
911	9
9	2
6	2
6	2
2227	26
13	5
6	3
190	5
29	4
6	2
2791	16
2067	1937
2791	16
618	6
449	25
7	1
2791	16
6233	8999
8	2
6	1
2227	26
6	1
2791	16
488	13
2791	16
20	6
8	2
572	3
2791	16
6	2
2791	32
13	2
977	7
5623	9586
2791	16
1999	4
40	1
6	2
2791	16
7	1
6	1
14	7
2227	26
2227	26
6	1
340	5
3121	18
6	1
2791	16
391	11
2791	16
2042	1
2791	16
8	2
4750	141
6	1
2791	16
7	5
2227	26
2791	16
2791	16
6	1
2791	16
2791	40
4524	168
32	2
6	1
2791	16
2791	23
1111	18
6225	1338
6	2
760	1
4	240
9	3
3602	25
48	1
2003	2
10	15
9	2
12	2
8	7
1429	2
2791	16
357	8
41	17
2139	171
250	32
2227	26
2382	23
2791	16
2227	26
2791	16
2791	16
6	1
2791	16
2791	16
7	4
8	2
1819	1299
2227	26
1618	3
2791	16
4880	39
7	7
2227	26
6	1
10	5
9	3
768	3
2791	16
1396	4
314	14
