Friend	No.Friends
f1	7
f2	15
f3	25
f4	30
f5	38
f6	39
f7	40
f8	41
f9	41
f10	42
f11	43
f12	54
f13	58
f14	59
f15	60
f16	62
f17	65
f18	68
f19	68
f20	77
f21	80
f22	85
f23	86
f24	87
f25	89
f26	93
f27	94
f28	94
f29	96
f30	97
f31	104
f32	104
f33	106
f34	108
f35	111
f36	123
f37	124
f38	128
f39	131
f40	143
f41	144
f42	147
f43	155
mln	165
f45	165
f46	168
f47	168
f48	170
f49	172
f50	181
f51	182
f52	183
f53	186
f54	187
f55	190
f56	195
f57	197
f58	204
f59	207
f60	208
f61	220
f62	227
f63	229
f64	231
f65	231
f66	233
f67	233
f68	235
f69	236
f70	240
f71	241
f72	242
f73	244
f74	245
f75	245
f76	250
f77	255
f78	259
f79	274
f80	275
f81	276
f82	278
f83	295
f84	297
f85	297
f86	308
f87	312
f88	315
f89	317
f90	321
f91	321
f92	322
f93	324
f94	327
f95	328
f96	337
f97	348
f98	351
f99	353
f100	359
f101	363
f102	366
f103	380
f104	387
f105	400
f106	404
f107	409
f108	415
f109	420
f110	421
f111	424
f112	425
f113	425
f114	427
f115	436
f116	443
f117	448
f118	449
f119	458
f120	496
f121	510
f122	524
f123	528
f124	538
f125	539
f126	552
f127	555
f128	555
f129	561
f130	562
f131	568
f132	575
f133	576
f134	580
f135	592
f136	615
f137	619
f138	622
f139	624
f140	705
f141	752
f142	763
f143	770
f144	784
f145	819
f146	833
f147	844
f148	873
f149	909
f150	1194
f151	1346
f152	1512
f153	1521
f154	1626
f155	3187
