#sdxcentral is followed by OctantSoftware
#jimmyatmovement follows toomuchsawdust
#ChristeRachel and Raihan_Islam follow each other
#SOURCE follows:
#TARGET follows:

True OctantSoftware
False sdxcentral

False toomuchsawdust
True jimmyatmovement

False carneyval
True jimmyatmovement

False wrestang
True jimmyatmovement

False TheDaycations
True jimmyatmovement

False kissanddrink
True jimmyatmovement

False DaveEEEEEE
True jimmyatmovement

False toomuchsawdust
True ChristeRachel

False SeanExposure
True ChristeRachel

False wrestang
True ChristeRachel

False The_Bagel_Guy
True ChristeRachel

True Raihan_Islam
True ChristeRachel

False tannerwood85
True GNARKILLGAMING

False The_Bagel_Guy
True GNARKILLGAMING

False Raihan_Islam
True GNARKILLGAMING

False NavySEALfnd
True TheFitMomm

False BigDav09
True Guts_Sports

True TheDaycations
True ricks_matt

False K80111027
True Exposure101

False echobinary
True Exposure101

True SeanExposure
True Exposure101

True Toria165
True Exposure101

False hideki
True Exposure101

True TheDaycations
False Exposure101

True The_Bagel_Guy
True Exposure101

False DaveEEEEEE
True Exposure101

False jarodgoenner
True Exposure101

True stephrusso7
True Exposure101

True BethanyFerrell
True Exposure101

True BigDav09
True fivecoins23

True kissanddrink
True StirDC

False NavySEALfnd
True TheFitMomm

False BigDav09
True Guts_Sports

True TheDaycations
True ricks_matt

False K80111027
True Exposure101

False echobinary
True Exposure101

True SeanExposure
True Exposure101

True Toria165
True Exposure101

False hideki
True Exposure101

True TheDaycations
False Exposure101

True The_Bagel_Guy
True Exposure101

False DaveEEEEEE
True Exposure101

False jarodgoenner
True Exposure101

True stephrusso7
True Exposure101

True BethanyFerrell
True Exposure101

True BigDav09
True fivecoins23

True kissanddrink
True StirDC

False The_Bagel_Guy
True MohaMohayad

False BethanyFerrell
True EL_MAGICMC

True jimmyatmovement
False toomuchsawdust

True ChristeRachel
False toomuchsawdust

True tannerwood85
True toomuchsawdust

False SeanExposure
True toomuchsawdust

True wrestang
True toomuchsawdust

True TheDaycations
True toomuchsawdust

True The_Bagel_Guy
True toomuchsawdust

True Raihan_Islam
True toomuchsawdust

True jimmyatmovement
False carneyval

True kissanddrink
True carneyval

True TeaTimeDC
True carneyval

True GNARKILLGAMING
False tannerwood85

True toomuchsawdust
True tannerwood85

True AirlineKidD
False tannerwood85

False SeanExposure
True tannerwood85

True wrestang
True tannerwood85

False The_Bagel_Guy
True tannerwood85

True Raihan_Islam
True tannerwood85

False Arcteryx
True tannerwood85

False tannerwood85
True AirlineKidD

False The_Bagel_Guy
True AirlineKidD

False Cyberonic_ISP
True 75_christina

True Guts_Sports
False BigDav09

True fivecoins23
True BigDav09

True ChristeRachel
False SeanExposure

True Exposure101
True SeanExposure

True toomuchsawdust
False SeanExposure

True tannerwood85
False SeanExposure

True Toria165
True SeanExposure

True wrestang
True SeanExposure

False TheDaycations
True SeanExposure

True The_Bagel_Guy
True SeanExposure

True Raihan_Islam
True SeanExposure

False DaveEEEEEE
True SeanExposure

True 75_christina
False Cyberonic_ISP

True Exposure101
True Toria165

True SeanExposure
True Toria165

True TheDaycations
True Toria165

False joshombroso
True Toria165

True K80111027
True rbishop757

True Exposure101
False hideki

True jimmyatmovement
False wrestang

True ChristeRachel
False wrestang

True toomuchsawdust
True wrestang

True tannerwood85
True wrestang

True SeanExposure
True wrestang

True TheDaycations
True wrestang

True Raihan_Islam
True wrestang

True jimmyatmovement
False TheDaycations

True ricks_matt
True TheDaycations

False Exposure101
True TheDaycations

True toomuchsawdust
True TheDaycations

True SeanExposure
False TheDaycations

True Toria165
True TheDaycations

True wrestang
True TheDaycations

True The_Bagel_Guy
True TheDaycations

True Ben_Shear_
True TheDaycations

True joshombroso
True TheDaycations

True starlyfe757
False starlyfe2014

True jimmyatmovement
False kissanddrink

True StirDC
True kissanddrink

True carneyval
True kissanddrink

True TeaTimeDC
True kissanddrink

True joshombroso
True kissanddrink

True carneyval
True TeaTimeDC

True kissanddrink
True TeaTimeDC

True joshombroso
True TeaTimeDC

True mjliuzzo
True ogsystems

True RyanMcMichael2
True ogsystems

True OctantSoftware
False ogsystems

True NavySEALfnd
True ogsystems

True ChristeRachel
False The_Bagel_Guy

True GNARKILLGAMING
False The_Bagel_Guy

True Exposure101
True The_Bagel_Guy

True MohaMohayad
False The_Bagel_Guy

True toomuchsawdust
True The_Bagel_Guy

True tannerwood85
False The_Bagel_Guy

True AirlineKidD
False The_Bagel_Guy

True SeanExposure
True The_Bagel_Guy

True ChristeRachel
True Raihan_Islam

True GNARKILLGAMING
False Raihan_Islam

True toomuchsawdust
True Raihan_Islam

True tannerwood85
True Raihan_Islam

True SeanExposure
True Raihan_Islam

True wrestang
True Raihan_Islam

True The_Bagel_Guy
True Raihan_Islam

True jimmyatmovement
False DaveEEEEEE

True Exposure101
False DaveEEEEEE

True SeanExposure
False DaveEEEEEE

True ogsystems
True RyanMcMichael2

True mjliuzzo
True RyanMcMichael2

True TheDaycations
True Ben_Shear_

False joshombroso
True Ben_Shear_

True Exposure101
False jarodgoenner

False sdxcentral
True OctantSoftware

False ogsystems
True OctantSoftware

True TheFitMomm
False NavySEALfnd

True ogsystems
True NavySEALfnd

True FTBenningSOY
False NavySEALfnd

False Arcteryx
True NavySEALfnd


