TFIDF   TF      IDF     URI
-----   --      ---     ---
0.0220  0.0065  3.3825  http://news.google.com/
0.0159  0.0047  3.3825  http://www.easkme.com/2014/07/mail-merge-in-gmail.html#.VB8GnkIk6rA.facebook
0.0113  0.0033  3.3825  http://btc-news-bot.tumblr.com/post/98066358831/we-need-to-do-a-better-job-explaining-bitcoin-in-ways#_=_
0.0109  0.0032  3.3825  http://musicisthedrug-revolution.tumblr.com/post/98067184737/description-you-know-what-time-it-is-world-cup#_=_
0.0099  0.0029  3.3825  http://www.ebay.com/itm/4-5-Android-Smartphone-Dual-Sim-Dual-Core-Unlocked-WIFI-3G-GSM-Cell-phone-AT-T-/271610837947?pt=Cell_Phones&hash=item3f3d447bbb
0.0092  0.0027  3.3825  http://www.blogdeizquierda.com/2014/09/mundo-bitcoin-banqueros-de-eu-ven.html?utm_source=twitterfeed&utm_medium=twitter
0.0064  0.0019  3.3825  http://www.valuewalk.com/2014/09/best-apps-apple-iphone-6/
0.0064  0.0019  3.3825  http://www.datelinemovies.com/2014/07/bloopers-for-season-4-game-of-thrones.html#sthash.yYuV0eDx.uxfs
0.0027  0.0008  3.3825  http://abusidiqu.com/its-all-scripted-ebola-virus-is-a-biological-weapon-from-the-us-read-this-shocking-report/
0.0019  0.0006  3.3825  http://rss-now.blogspot.com/2014/09/nasa-boeing-space-x-iss.html?utm_source=dlvr.it&utm_medium=twitter
