following,count
jessili,221
kevingashley,1499
RajnishMallick,42
MildlyBored,7
MonarchsAimHigh,718
ChuChoResano,78
RossiAtanassova,814
landeart,15
K4arkive,271
lorcanD,6197
jlbollen,938
DrAinenwar,2
lwynholds,83
perrycollins,691
renevoorburg,97
benkeele,298
elunca,886
JohnChangGWU,23
Ghozia,61
TessaFallon,524
peterkz_swe,2598
mjgiarlo,1440
justinfbrunelle,200
masroorfreaks,28
NKrabben,554
landlibrarian,806
jcdl2012,70
maturban1,55
lintool,8218
aalsum,368
SIGIR17,179
OTHSEAFOOD,157
samy_tawab,145
mdiazdigpres,56
djw0952,460
oreficeplumbing,455
unstablearchive,423
futuresma,682
gauravguptak1,52
CrowNaito,0
SouthernKiaGB,315
oso525gang,14
iamtimmo,246
erikchoi,339
WSUNDSA,127
narfman0,40
Alisia1092,28
tywalters1,415
this_phillips,178
IngeRudomino,7
edsu,4080
TeriBerg96,93
peplluis7,410
evdvelde,330
williamjnixon,1325
umurthy,140
JoeLemanski,7
KarolHolu,34
AlephArchives,241
hariharshankar,31
xabuci,569
weiglemc,159
GetDownODU,371
kurtluther,1377
SteveMcLaugh,1109
mwittin,724
beatles__beatle,12
docmattweber,712
hochstenbach,1020
ianmilligan1,3069
WessamElhefnawy,80
doppelen,117
SterlingWill4,9
stevehit,744
BeachAutoBroker,60
thefaisalahmad,17
f_nanni,315
Educopia,216
iPRESconf,146
jcdl2013,322
rundavidrun,2198
AliShamim333,9
CarlyKristie269,1979
sebastiangood,454
imafuturemedic,606
klhiggins33,91
shirapeltzman,1048
DanMilanko,3
anjacks0n,1389
northgardner,26
tedlawless,214
desouzatech,1103
jakkbl,160
THEBenLeBrun,370
hryanski,420
Moha_Magdy,447
AAlasaadi,81
diglib,216
HiveBestHumor,12489
AricAumann,83
majetisiri,6
EmeraldLibrary,690
mgallinger,90
PoorOldMoot,5
hhockx,779
machawk1,240
inadlweb,768
athurman,163
lljohnston,1935
WolframElvis,1
Julibabe21,11
RjLyric,354
prwheatley,1230
digiarchiveteam,130
emcaulay,322
AlinaDeniau,963
grotophorst,294
pre11e,30
Erikfreiser,404
ziadmatni,57
digitalfay,1441
jschneider,2512
icdm2016,149
OpenResearchExe,1050
StanfordLibs,2423
J_IreneTieman,230
Antenna_Lab,1096
