following,count
awptix,5
webrecorder_io,479
CBSSportsACC,2950
tpdl2013,234
AnnaPerricci,450
phonedude_mln,227
FarbThink,396
AndyBitterVT,19746
RLangTip,29982
katycns,1059
VT_MBBall,12872
hhockx,779
elunca,886
metasj,6945
whanamura,309
RossiAtanassova,814
ijdl,105
ODULibraries,281
WillStewartTSL,3970
uncsils,1646
skhartmann,76
CaroleAnneGoble,896
clarellewellyn,93
anjacks0n,1389
lagoze,45
rosalielack,159
angry_prof,7022
HCIR_GeneG,820
hmason,70352
peplluis7,410
athurman,163
cshirky,358339
masinter,816
wwwtxt,24908
maherzog,183
YourPaperSucks,11753
fmccown,348
gjfowler,10
googleresearch,1012704
julienmasanes,191
kaylamarie0110,15
Julibabe21,11
maturban1,55
DrDanetteAllen,115
Galsondor,117
SciTechProf,1128
hanysalaheldeen,178
NEH_ODH,14371
jcdl2016,75
WebArchivists,1179
involutish,6
nowviskie,9153
tcramer,533
djw0952,460
rlfrick,1793
Hypertext2015,47
DPN100,79
ESPN_ACC,65601
icwsm,2246
brettbobley,5824
iPRESconf,146
perrycollins,691
CamtheWicked,49
machawk1,240
joansm1th,27
AutonomyIncub8r,226
PilotNews,49325
erinengle,726
JeniT,5314
knmnyn,98
CommonwlthCup,1374
despens,1810
lintool,8218
GinaDalmas,196
pnwagner,276
tpdl2015,109
RaleighHokie,2439
ldirks,333
saraaubry,231
documentnow,162
longnow,19448
archiveitorg,2676
coachfostervt,17238
ianmilligan1,3069
rocky_emery,1037
mart1nkle1n,389
NielsBr,505
TKP_Recruiting,2296
BryanStiney,5577
stormcrawlerapi,26
mounialalmas,1946
dchud,2021
internetarchive,63553
smalljones,4320
TessaFallon,524
LolaVT,1026
margymavery,1252
jkamps,516
TimelessFuture,110
lorcanD,6197
NateSilver538,1380915
agrotke,1042
txkuhn,547
dret,1616
WSDM2015,420
VTSandsman,15531
jcdl2015,66
HokiesJournal,12356
WikiConUSA,146
www2016ca,607
jefferson_bail,1721
VLKristen,186
opba,446
Archivethenet,259
normwood,4177
SarWebFull,159
eotarchive,107
karensnet,5
WikiResearch,3250
justinfbrunelle,200
eugeneAgichtein,1181
fielding,8053
SIGIR2016,321
blefurgy,2177
neiltyson,4979858
shawnmjones,108
AT_Webarchive,406
UKWebArchive,4586
weiglemc,159
ECIR2015,735
oducs,108
NDSA2,1278
SimpleSimon2013,8
zittrain,35403
landeart,15
jcdl2012,70
DLib2014,98
stewartbrand,3301
lljohnston,1935
renevoorburg,97
UberFacts,13139528
dhowell,11009
siah,6552
thekeyplay,14289
aalsum,368
archivesnext,8033
ndiipp,17338
ladamic,8418
dancohen,15949
w3c,152764
_wdill,26
edwardafox,159
FiveThirtyEight,563676
musty_clips,748
EmoryIRLab,38
VTScoop247,7109
CorrenMcCoy,8
sigirf,298
ccmarshall,696
zimeon,92
ODUnow,9652
JenServenti,3111
jure,15236
azaroth42,1195
AllThingsGraph,150
AcademicsSay,174128
emilyrnlds,652
kristsi,192
yasmina_anwar,273
acnwala,20
e_mccain,295
dpla,25971
VT_WBBall,1808
ian_soboroff,1990
marchionini,657
baconmeteor,8522
ipres2016,118
CommonCrawl,2955
511hamptonroads,10274
TPDL2016,82
jasonmarkwebber,774
WebSciDL,184
archiveis,585
LazeVT,5200
OldDominionUniv,1301
InternetMemory,601
ChrisHorneSW,1432
TPDL2012,39
GeorgeRBuchanan,260
NUlabTMN,907
W3CDataontheWeb,176
tjowens,5609
pj_webster,1899
PT_WebArchive,335
hvdsomp,1303
TechSideline,10873
dmimno,1316
MarthaBunton,605
InsideTheACC,1127
vneblitt,25
anarchivist,5236
ecir2016,410
coachwiles,5721
jcdl2013,322
jlbollen,938
mgallinger,90
nullhandle,811
VT_Football,78342
SeanGlennon7,1081
jteevan,2360
iPRES2013,183
CoachFuente,20635
DanMilanko,3
dasmiq,332
vphill,548
Sci_Hub,12306
NetPreserve,1338
OpenRepository,3097
HistWebArchives,473
WhitBabcock,14428
squealermusic,162
Past_Pages,5
BrianDavison,544
JCDLConf,101
ibnesayeed,309
icanhazmemento,21
edsu,4080
neo4j,18814
