source,target,value
Kalifornia_94,JuicyJake1868,1
megan_marie0,JuicyJake1868,1
alexbouharb,JuicyJake1868,2
henhen_webweb,JuicyJake1868,2
CullenJean,JuicyJake1868,2
mattpowell513,JuicyJake1868,2
nikki_steiman,JuicyJake1868,2
c_grogesky,JuicyJake1868,2
toninecollins,JuicyJake1868,2
DaltonW4466,JuicyJake1868,2
PinetteRebecca,JuicyJake1868,2
sh3llbs,JuicyJake1868,2
glasstech777,JuicyJake1868,2
B_Flave84,JuicyJake1868,2
samaleryani,JuicyJake1868,2
ADYandJACK,JuicyJake1868,2
kanto66,JuicyJake1868,2
DanGraham44,JuicyJake1868,2
J_D_P_12,JuicyJake1868,2
chrisbarco,JuicyJake1868,2
jojochamp36,JuicyJake1868,2
BellaN35144785,JuicyJake1868,2
ha2782,JuicyJake1868,2
adamdanny17,JuicyJake1868,2
SuperDuperJordy,JuicyJake1868,2
TheMelissaBabin,JuicyJake1868,2
BrownTown1868,JuicyJake1868,2
dominikfrank12,JuicyJake1868,2
KLaPietra,JuicyJake1868,2
Anewelly,JuicyJake1868,2
brandinbarker98,JuicyJake1868,2
ClayHarrington1,JuicyJake1868,2
maddieeebeee,JuicyJake1868,2
EmilyRogerss17,JuicyJake1868,2
emilyhellmann,JuicyJake1868,2
PHolland26,JuicyJake1868,2
cmmiller1995,JuicyJake1868,2
jorrdanjones,JuicyJake1868,2
RyleyCantrell,JuicyJake1868,2
FratHQ,JuicyJake1868,2
gallegos_182,JuicyJake1868,2
MillerReef,JuicyJake1868,2
Denis_Vasic,JuicyJake1868,2
jacababy14,JuicyJake1868,2
ThouseMag,JuicyJake1868,2
fearisuronlygod,JuicyJake1868,2
musicislife0314,JuicyJake1868,2
ScottGuter,JuicyJake1868,2
KRitchotte,JuicyJake1868,2
Thunder1045,JuicyJake1868,2
AdamCarroll44,JuicyJake1868,2
Mitch_Rileyy,JuicyJake1868,2
mattpowell513,Kalifornia_94,1
AdamCarroll44,alexbouharb,1
J_D_P_12,alexbouharb,1
EmilyRogerss17,alexbouharb,1
c_grogesky,alexbouharb,1
SuperDuperJordy,henhen_webweb,1
BrownTown1868,henhen_webweb,1
BrownTown1868,CullenJean,1
B_Flave84,CullenJean,1
SuperDuperJordy,CullenJean,1
chrisbarco,CullenJean,1
ScottGuter,CullenJean,1
AdamCarroll44,CullenJean,1
fearisuronlygod,CullenJean,1
ADYandJACK,CullenJean,1
sh3llbs,mattpowell513,1
c_grogesky,mattpowell513,1
chrisbarco,mattpowell513,1
samaleryani,mattpowell513,1
J_D_P_12,mattpowell513,1
Anewelly,mattpowell513,1
emilyhellmann,mattpowell513,1
B_Flave84,mattpowell513,1
maddieeebeee,mattpowell513,1
EmilyRogerss17,mattpowell513,1
gallegos_182,mattpowell513,1
BrownTown1868,mattpowell513,1
kanto66,mattpowell513,1
Kalifornia_94,mattpowell513,1
ScottGuter,mattpowell513,1
AdamCarroll44,mattpowell513,1
SuperDuperJordy,mattpowell513,1
ADYandJACK,mattpowell513,1
fearisuronlygod,mattpowell513,1
toninecollins,mattpowell513,1
DanGraham44,c_grogesky,1
samaleryani,c_grogesky,1
chrisbarco,c_grogesky,1
mattpowell513,c_grogesky,1
B_Flave84,c_grogesky,1
kanto66,c_grogesky,1
ADYandJACK,c_grogesky,1
fearisuronlygod,c_grogesky,1
AdamCarroll44,c_grogesky,1
MillerReef,c_grogesky,1
BrownTown1868,c_grogesky,1
SuperDuperJordy,c_grogesky,1
EmilyRogerss17,c_grogesky,1
alexbouharb,c_grogesky,1
ADYandJACK,toninecollins,1
emilyhellmann,toninecollins,1
maddieeebeee,toninecollins,1
mattpowell513,toninecollins,1
mattpowell513,sh3llbs,1
maddieeebeee,sh3llbs,1
emilyhellmann,sh3llbs,1
EmilyRogerss17,sh3llbs,1
ScottGuter,B_Flave84,1
CullenJean,B_Flave84,1
J_D_P_12,B_Flave84,1
kanto66,B_Flave84,1
c_grogesky,B_Flave84,1
gallegos_182,B_Flave84,1
jorrdanjones,B_Flave84,1
mattpowell513,B_Flave84,1
SuperDuperJordy,B_Flave84,1
ADYandJACK,B_Flave84,1
AdamCarroll44,B_Flave84,1
BrownTown1868,B_Flave84,1
adamdanny17,B_Flave84,1
samaleryani,B_Flave84,1
Anewelly,B_Flave84,1
DanGraham44,B_Flave84,1
chrisbarco,samaleryani,1
c_grogesky,samaleryani,1
ADYandJACK,samaleryani,1
MillerReef,samaleryani,1
ScottGuter,samaleryani,1
kanto66,samaleryani,1
AdamCarroll44,samaleryani,1
mattpowell513,samaleryani,1
J_D_P_12,samaleryani,1
gallegos_182,samaleryani,1
DanGraham44,samaleryani,1
B_Flave84,samaleryani,1
adamdanny17,samaleryani,1
Anewelly,samaleryani,1
SuperDuperJordy,samaleryani,1
BrownTown1868,samaleryani,1
toninecollins,ADYandJACK,1
kanto66,ADYandJACK,1
